State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.85112	3.77560	3.64256	3.49153	3.35130	3.22185	3.13914	3.01689	3.01689	3.01689	2.94137	2.95576	2.97014	3.02048	3.14634	3.17510	3.18949	3.11038	3.10678	3.11397	3.04206
2	1.35993	1.32716	1.41455	1.39270	1.34355	1.36539	1.51286	1.68217	1.61117	1.60024	1.44732	1.61663	1.62209	1.65486	1.71494	1.72040	1.70401	1.72586	1.67670	1.54563	1.48009
3	1.55540	1.57175	1.52971	1.56941	1.59510	1.64648	1.59277	1.61145	1.68852	1.66516	1.67217	1.62313	1.63714	1.73990	1.63013	1.67684	1.70253	1.70253	1.73056	1.73990	1.88236
4	3.09521	3.14217	3.14217	3.11478	3.22826	3.22826	3.32217	3.34565	3.25174	3.10304	2.99739	2.87608	2.68435	2.51608	2.30087	2.26565	2.22652	2.30087	2.28130	2.36348	2.41435
5	0.41478	0.38430	0.35515	0.37238	0.35382	0.32334	0.32467	0.30877	0.30744	0.30877	0.33660	0.35647	0.38563	0.40153	0.42538	0.41743	0.41611	0.43731	0.44791	0.45586	0.47707
6	2.49339	2.43961	2.46161	2.39805	2.36872	2.41028	2.34183	2.32716	2.28561	2.18783	2.06071	1.96782	1.87982	1.76982	1.76248	1.73315	1.71359	1.72337	1.75026	1.69648	1.61826
7	4.16279	4.20798	4.21287	4.24717	4.24608	4.22757	4.22540	4.19927	4.15844	4.11979	4.02126	3.94559	3.82474	3.70280	3.56344	3.43497	3.30269	3.16877	3.02125	2.92707	2.83508
8	1.08736	1.06570	1.06354	1.06354	1.07870	1.08953	1.07870	1.05054	1.04404	0.99856	0.95740	0.97473	1.00505	1.01588	1.02671	1.00505	1.02022	1.02238	1.02455	1.02671	1.05054
9	0.60526	0.60414	0.60591	0.60470	0.60475	0.60566	0.60758	0.61066	0.61556	0.62511	0.64072	0.64957	0.66286	0.67609	0.69105	0.70312	0.71586	0.72788	0.74122	0.75173	0.75886
10	1.03689	1.03735	1.03941	1.04170	1.04812	1.05431	1.05270	1.05431	1.05499	1.05316	1.05201	1.05110	1.05041	1.04330	1.04239	1.04353	1.04147	1.03826	1.03597	1.03070	1.02864
