State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.99562	6.18264	8.02982	11.24174	16.11676	22.48983	29.82140	36.74990	41.28849	41.82804	42.36759	43.93547	43.41179	41.94865	38.24478	31.22107	22.60409	15.18365	10.34037	7.35379	5.52883
2	1.88970	2.08734	2.20304	2.30427	2.32838	2.47300	2.68511	2.20304	1.59082	1.27265	1.18106	1.04608	0.92557	0.94967	0.92557	1.04126	1.18106	1.16660	1.20998	1.23409	1.29676
3	4.22787	4.89781	6.03363	7.08905	7.80847	7.93627	6.71800	4.72878	3.10236	3.35179	3.26933	2.25101	2.15413	2.30255	2.57259	3.11061	3.69397	4.12892	4.02585	3.68985	3.31468
4	9.11123	9.25975	8.87292	7.90584	6.26527	4.45200	2.83906	1.94797	1.56459	1.46097	1.51278	1.57841	1.70620	2.38660	5.04261	10.63783	17.46262	23.00603	25.92108	26.79144	26.28028
5	0.91936	0.76847	0.67373	0.60121	0.55091	0.48190	0.43863	0.42693	0.38950	0.36728	0.33803	0.32517	0.32751	0.33102	0.34622	0.36728	0.41757	0.53220	0.73104	1.05036	1.41764
6	0.77891	0.69260	0.63434	0.58472	0.54804	0.54372	0.54157	0.54588	0.61493	0.63866	0.67750	0.71202	0.72497	0.72281	0.69044	0.69044	0.70770	0.76596	0.89326	1.03782	1.35715
7	0.60109	0.57274	0.54535	0.51941	0.49971	0.46511	0.44829	0.43917	0.43628	0.44253	0.46175	0.47280	0.49154	0.50595	0.51460	0.52373	0.52902	0.54487	0.57562	0.62367	0.69046
8	0.77240	0.82019	0.83931	0.83549	0.83167	0.86417	0.86226	0.88137	0.92344	0.92344	0.93873	0.95976	0.96358	0.92152	0.86417	0.82211	0.77622	0.72269	0.68827	0.63092	0.63283
9	0.75333	0.73135	0.69638	0.65174	0.60010	0.54466	0.50042	0.47197	0.45948	0.45444	0.44842	0.44691	0.45088	0.45480	0.46345	0.47295	0.48566	0.49922	0.51652	0.53235	0.54324
10	1.26175	1.24415	1.22270	1.19782	1.16667	1.12297	1.07644	1.03497	1.00685	0.98925	0.98278	0.98359	0.99613	1.01413	1.03274	1.04893	1.06997	1.08838	1.10051	1.11710	1.12641
