State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.96691	43.40941	6.67369	1.50909	2.94168	42.36572	22.03376	0.27868
2	0.63659	0.33018	1.24883	1.01677	1.44747	1.18110	1.66330	0.68888
3	1.48872	3.17645	1.38385	0.98458	1.67235	3.26943	4.26692	0.68300
4	0.88852	1.02602	2.63490	2.21646	2.99379	1.51283	7.79158	0.23853
5	2.62365	0.26205	0.24165	2.24477	0.33663	0.33805	0.57903	0.18980
6	1.42230	0.65709	3.06491	2.28486	2.06093	0.67752	0.73928	0.21245
7	6.38686	0.70702	4.54166	2.20620	4.02059	0.46176	0.57303	0.31554
8	1.60513	2.39779	1.10038	0.70781	0.95750	0.93876	0.79408	0.89322
9	68.81181	0.45281	0.54814	0.78705	0.64079	0.44844	0.56570	1.11000
10	15.16952	0.72720	0.98001	1.05039	1.05212	0.98281	1.18193	1.14923
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
