State (Emission order)	H3k04me1	H3k27ac	H3k09ac	H3k04me2	H3k04me3	H2az	H3k79me2	H3k36me3	H3k09me3	H3k27me3
1	0.6508077523859462	0.7784533764077536	0.9065494275726599	0.9869023752484407	0.9869228825708599	0.732095740872931	0.48761178512205544	0.011845429705371353	0.0035648957342794274	0.03590319628087854
2	0.9903588361380836	0.9755681293976751	0.5836056066797306	0.4089340890513716	0.046635451037321876	0.30951682287389226	0.05978217898503633	0.04259562893708196	0.013976870486630074	8.270811326091682E-4
3	0.6289177490523137	0.17458421437626967	0.06612614944590138	0.14663370440158366	0.019086456516029252	0.14074337365899095	0.008235806456634683	0.01362301532758	0.006501033702113698	0.03316793285325897
4	0.9062917460032744	0.34242727871716644	0.3662060723239761	0.7355117827473193	0.3557230934878786	0.0025373093385304833	0.9564957277264371	0.42493491814360496	0.0050381489584237615	3.0400801782273703E-4
5	0.03073166922046002	0.01573718021540212	0.02055694875367075	0.0072466653328390855	2.962710643500986E-5	1.6043748392335485E-4	0.6720169951940699	0.056530569760107396	0.004557853871900004	1.860685481934445E-4
6	0.06311970812641648	0.06601794524333414	0.041980086059901056	0.023463201118711616	0.0022240965134997025	2.4293594529557668E-4	0.8189650721458954	0.8561470668694975	0.04180764265485217	1.4423037723426204E-5
7	0.0014081070602210497	0.009439972711857812	0.018770264689770447	1.1061754650116294E-4	3.253706827123938E-5	1.5318477658673614E-4	0.01818124773218487	0.5950721629790099	0.005807702321757812	9.874738680175556E-5
8	0.0016562205270104098	0.008293270784986782	0.0047606179116422035	2.668483097254512E-4	0.015332782681446796	0.019166735262405026	0.0035950832056571057	0.06679868125876194	0.5004536453078333	0.0031795629001810906
9	1.5916000301620695E-4	5.23494371489241E-4	0.005799812023286234	3.432298336473394E-10	2.2323476217776446E-10	0.005832690169966593	4.151329446976148E-4	0.0011814849792004633	0.0040960379722284985	0.003575363655531576
10	4.503074066705189E-4	3.4365813473727493E-5	0.009434209195259622	1.011380029935964E-4	1.1259928827015867E-5	0.00463573036510172	6.690618179208523E-6	1.7098616529177996E-5	0.0013154583639262047	0.18406666524962356
